ID,nro_remocion,nro_obra,nro_permiso,motivo_obra,tipo_obra,tipo_remocion,fecha_inicio,fecha_fin,propietario,adjudicatario,ejecutante,nro_cont_o_lici,ubicacion,fecha_solicitud,fecha_autorizacion,plazo_autorizado,fecha_recepcion_provisoria,fecha_recepcion_definitiva,inspector,cantidad,longitud,ancho,fecha_alta,Fcrea,Ucrea,Fact,Uact,diametro,tipo_pavimento,tipo_equipo,plazo_total,vigente
373612,1029638,441067,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,2019-12-14 00:00:00.0,2020-03-05 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,BRIG GRAL DIEGO LAMAS DESDE 1534 HASTA 1534 ENTRE CAP VIDELA Y FELICIANO RODRIGUEZ,2019-11-27 00:00:00.0,2019-11-28 14:07:02.0,15,,,FERNANDO RODRIGUEZ,,5.2,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,N
373613,1029646,441070,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,2019-12-10 00:00:00.0,2020-02-14 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,PROF FRANCISCO GAMEZ MARIN DESDE 2413 HASTA 2413 ENTRE DR AGUSTIN MUSSO Y HAVRE,2019-11-27 00:00:00.0,2019-11-28 14:05:16.0,15,,,CARLOS GUERRA,,6,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,HORMIGON ,0,15,N
373614,1029648,441071,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-26 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,AV ISLAS CANARIAS DESDE 4436 HASTA 4436 ENTRE MAZANGANO Y CNEL OLAVARRIA,2019-11-27 00:00:00.0,2019-11-28 13:57:38.0,15,,,JUAN QUEVEDO,,4,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,N
373615,1029650,441072,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-02-04 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,SEPEE DESDE 1787 HASTA 1787 ENTRE ALMIRON Y AV ITALIA,2019-11-27 00:00:00.0,2019-11-28 13:49:52.0,15,,,FERNANDO RODRIGUEZ,,5,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,HORMIGON ,0,15,N
373616,1029655,441074,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,2019-12-11 00:00:00.0,2020-01-27 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,JUAN J RAISSIGNIER DESDE 2539 HASTA 2539 ENTRE HUMACHIRI Y AV 8 DE OCTUBRE,2019-11-27 00:00:00.0,2019-11-28 13:47:55.0,15,,,JAVIER BUCALO,,4.6,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,N
373617,1029657,441075,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-03-04 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,BERNA DESDE 2253 HASTA 2253 ENTRE DINAMARCA Y GIBRALTAR,2019-11-27 00:00:00.0,2019-11-28 13:46:18.0,15,,,LAURO RUETALO,,3.2,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED ,0,15,N
373618,1025906,438879,4,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,2019-12-02 00:00:00.0,,MUNICIPIO DE MONTEVIDEO,C I E M S A CONSTRUCCIONES E INSTALACIONES ELECTROM,C I E M S A CONSTRUCCIONES E INSTALACIONES ELECTROM,RES. 2671/19,CNO REPETTO ENTRE AGUSTIN BISIO Y CNO PASO DE LA ESPAÑOLA,2019-11-05 00:00:00.0,2019-12-02 12:54:28.0,30,,,JAVIER BUCALO,,145,1.5,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED HORMIGON OTROS ,0,30,N
373619,1029750,441106,1,VARIOS,INTERVENCION MENOR,ACERA,,2019-12-26 00:00:00.0,DISTRIBUIDORA DE GAS DE MONTEVIDEO S.A. - GRUPO PETROBRAS,GOFINAL S.A.,GOFINAL S.A.,57/2018,MISSISSIPI ENTRE ACONCAGUA Y ORINOCO,2019-11-28 00:00:00.0,2019-11-29 10:16:51.0,2,,,FERNANDO RODRIGUEZ,,1,1,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,2,N
373621,1025188,439350,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-07-07 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,AURELIA RAMOS DE SEGARRA ENTRE CNO DOMINGO ARENA Y DR BARTOLOME VIGNALE,2019-10-31 00:00:00.0,2019-11-26 12:09:56.0,7,,,JAVIER BUCALO,,191,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED ,0,7,N
373622,1025188,439350,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-07-07 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,AURELIA RAMOS DE SEGARRA ENTRE CNO DOMINGO ARENA Y DR BARTOLOME VIGNALE,2019-10-31 00:00:00.0,2019-11-26 12:09:56.0,7,,,JAVIER BUCALO,,191,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED ,0,7,N
373624,1025188,439350,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-07-07 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,AURELIA RAMOS DE SEGARRA ENTRE CNO DOMINGO ARENA Y DR BARTOLOME VIGNALE,2019-10-31 00:00:00.0,2019-11-26 12:09:56.0,7,,,JAVIER BUCALO,,191,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED ,0,7,N
373625,1029748,441105,1,TENDIDO DE CABLE SUBTERRANEO,INTERVENCION MENOR,ACERA,2019-12-05 00:00:00.0,2020-01-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,ALBERTO ZUM FELDE ENTRE CNO CARRASCO Y LUIS CLUZEAU MORTET,2019-11-28 00:00:00.0,2019-11-29 10:19:03.0,3,,,CARLOS GUERRA,,4.5,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,TIERRA/CESPED ,0,3,N
373632,1029752,441107,1,TENDIDO DE CABLE SUBTERRANEO,INTERVENCION MENOR,ACERA,,2020-02-04 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,RAMOS ENTRE PEREZ GOMAR Y AMBROSIO VELAZCO,2019-11-28 00:00:00.0,2019-11-29 10:20:06.0,3,,,FERNANDO RODRIGUEZ,,2,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,3,N
373653,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373655,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373657,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373659,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373661,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373663,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373665,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373667,1029746,441104,1,TENDIDO DE CABLE SUBTERRANEO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-27 00:00:00.0,A.N.TEL.,GOFINAL S.A.,GOFINAL S.A.,H033640001,DR JUAN J DE AMEZAGA ENTRE PORONGOS Y RAMON DEL VALLE INCLAN,2019-11-28 00:00:00.0,2019-11-29 10:23:19.0,5,,,ALICIA DIAZ,,14,0.6,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,5,N
373673,1029643,441069,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,2019-12-09 00:00:00.0,2020-03-05 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,DR JOSE SCOSERIA DESDE 2533 HASTA 2533 ENTRE LUIS FRANZINI Y DR ENRIQUE MUÑOZ,2019-11-27 00:00:00.0,2019-11-29 14:20:30.0,15,,,FERNANDO RODRIGUEZ,,3.1,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,N
373674,1029644,441069,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,MEDIO CORTE CIELO ABIERTO,2019-12-09 00:00:00.0,2020-03-05 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,DR JOSE SCOSERIA DESDE 2533 HASTA 2533 ENTRE LUIS FRANZINI Y DR ENRIQUE MUÑOZ,2019-11-27 00:00:00.0,2019-11-29 14:20:30.0,15,,,FERNANDO RODRIGUEZ,,5.5,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,,ASFALTO,,15,N
373694,1029662,441077,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,MEDIO CORTE CIELO ABIERTO,,2019-12-23 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/1,VENANCIO BENAVIDEZ DESDE 3474 HASTA 3474 ENTRE CAIGUA Y REGIDORES,2019-11-27 00:00:00.0,2019-11-29 14:27:14.0,15,,,CLAUDIA MARTINEZ,,3,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,,ADOQUINES,,15,N
373695,1029663,441077,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,MEDIO CORTE CIELO ABIERTO,,2019-12-23 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/1,VENANCIO BENAVIDEZ DESDE 3480 HASTA 3480 ENTRE CAIGUA Y REGIDORES,2019-11-27 00:00:00.0,2019-11-29 14:27:14.0,15,,,CLAUDIA MARTINEZ,,3,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,,ADOQUINES,,15,N
373697,1029661,441077,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-23 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/1,VENANCIO BENAVIDEZ DESDE 3474 HASTA 3480 ENTRE CAIGUA Y REGIDORES,2019-11-27 00:00:00.0,2019-11-29 14:27:14.0,15,,,CLAUDIA MARTINEZ,,8.8,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,HORMIGON ,0,15,N
373699,1029661,441077,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2019-12-23 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/1,VENANCIO BENAVIDEZ DESDE 3474 HASTA 3480 ENTRE CAIGUA Y REGIDORES,2019-11-27 00:00:00.0,2019-11-29 14:27:14.0,15,,,CLAUDIA MARTINEZ,,8.8,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,HORMIGON ,0,15,N
373700,1029640,441068,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,2020-05-04 00:00:00.0,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,AV ITALIA DESDE 2516 HASTA 2516 ENTRE PTE LORENZO BATLLE Y PTE BERRO,2019-11-27 00:00:00.0,2019-11-29 14:29:15.0,15,,,ALICIA DIAZ,,5.5,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,N
373712,1029652,441073,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,ACERA,,,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,JUAN JACOBO ROUSSEAU DESDE 3620 HASTA 3620 ENTRE PERNAS Y COMERCIO,2019-11-27 00:00:00.0,2019-11-29 14:31:07.0,15,,,JAVIER BUCALO,,2.4,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,0,BALDOSAS ,0,15,
373713,1029653,441073,1,REPARACION REDES DE SANEAMIENTO,PERMISO OBRA VIA PUBLICA,MEDIO CORTE CIELO ABIERTO,,,MUNICIPIO DE MONTEVIDEO,GIBEROL S.A.,GIBEROL S.A.,352959/4,JUAN JACOBO ROUSSEAU DESDE 3620 HASTA 3620 ENTRE PERNAS Y COMERCIO,2019-11-27 00:00:00.0,2019-11-29 14:31:07.0,15,,,JAVIER BUCALO,,4.5,0.8,20191202,2-Dec-19,IM2000699,2-Dec-19,IM2000699,,HORMIGON,,15,
